Model,Best_Threshold,Validation_Accuracy,Validation_F1_Churn
Random Forest,0.46999999999999986,0.865,0.583011583011583
SVC,0.2599999999999999,0.86,0.5927272727272728
KNN,0.3599999999999999,0.858125,0.6065857885615251
Decision Tree,0.5299999999999998,0.856875,0.558766859344894
Logistic Regression,0.47999999999999976,0.85,0.5348837209302325
