Model,Accuracy,Balanced_Accuracy,Precision_macro,Recall_macro,F1_macro,Precision_churn,Recall_churn,F1_churn,AUC
KNN,0.865,0.7048897896355524,0.8433360643662238,0.7048897896355524,0.7436656944950784,0.815668202764977,0.4348894348894349,0.5673076923076923,0.8577614594563746
Random Forest,0.8635,0.7012042859500487,0.8413124928048895,0.7012042859500487,0.7397966696833097,0.8130841121495327,0.4275184275184275,0.5603864734299517,0.8660972220294254
Logistic Regression,0.863,0.7072928089877243,0.831390747092285,0.7072928089877243,0.7438658679768768,0.7903930131004366,0.44471744471744473,0.5691823899371069,0.8501382738670874
SVC,0.862,0.7048358065307218,0.8299753274148944,0.7048358065307218,0.7413361673892385,0.788546255506608,0.4398034398034398,0.5646687697160884,0.8173489359930038
Decision Tree,0.8605,0.7185282354773881,0.8111477613120284,0.7185282354773881,0.7496005051069381,0.7442748091603053,0.47911547911547914,0.5829596412556054,0.8383159739091943
