Model,Accuracy,Balanced_Accuracy,Precision_macro,Recall_macro,F1_macro,Precision_churn,Recall_churn,F1_churn,AUC
Logistic Regression,0.8625,0.706064307759223,0.8306849233693715,0.706064307759223,0.7426027541505306,0.7894736842105263,0.44226044226044225,0.5669291338582677,0.8501984264696129
SVC,0.862,0.7020919224309055,0.8332659305777051,0.7020919224309055,0.7393295101661491,0.7963800904977375,0.43243243243243246,0.5605095541401274,0.8212665670292789
Random Forest,0.855,0.7077586060636908,0.8007036483901141,0.7077586060636908,0.7381612782063506,0.7276264591439688,0.4594594594594595,0.5632530120481928,0.8463347785381684
KNN,0.841,0.6925677603643705,0.7664584395988552,0.6925677603643705,0.71762399237052,0.6642066420664207,0.44226044226044225,0.5309734513274337,0.7789684908328975
Decision Tree,0.787,0.6915960644774204,0.6778151700761095,0.6915960644774204,0.6839570359621283,0.4789356984478936,0.5307125307125307,0.5034965034965035,0.6915960644774204
