Model,Best_CV_Accuracy,Accuracy,Balanced_Accuracy,Precision_macro,Recall_macro,F1_macro,Precision_churn,Recall_churn,F1_churn,AUC,Best_Params
KNN,0.857,0.865,0.7048897896355524,0.8433360643662238,0.7048897896355524,0.7436656944950784,0.815668202764977,0.4348894348894349,0.5673076923076923,0.8577614594563746,"{'model__weights': 'distance', 'model__p': 1, 'model__n_neighbors': 41}"
Random Forest,0.8633750000000001,0.8635,0.7012042859500487,0.8413124928048895,0.7012042859500487,0.7397966696833097,0.8130841121495327,0.4275184275184275,0.5603864734299517,0.8660972220294254,"{'model__n_estimators': 300, 'model__min_samples_split': 5, 'model__min_samples_leaf': 8, 'model__max_features': 'sqrt', 'model__max_depth': 8, 'model__class_weight': None, 'model__bootstrap': True}"
Logistic Regression,0.852,0.863,0.7072928089877243,0.831390747092285,0.7072928089877243,0.7438658679768768,0.7903930131004366,0.44471744471744473,0.5691823899371069,0.8501382738670874,"{'model__solver': 'lbfgs', 'model__penalty': 'l2', 'model__class_weight': None, 'model__C': 2}"
SVC,0.8574999999999999,0.862,0.7048358065307218,0.8299753274148944,0.7048358065307218,0.7413361673892385,0.788546255506608,0.4398034398034398,0.5646687697160884,0.8173489359930038,"{'model__gamma': 0.05, 'model__class_weight': None, 'model__C': 3}"
Decision Tree,0.8539999999999999,0.8605,0.7185282354773881,0.8111477613120284,0.7185282354773881,0.7496005051069381,0.7442748091603053,0.47911547911547914,0.5829596412556054,0.8383159739091943,"{'model__min_samples_split': 2, 'model__min_samples_leaf': 40, 'model__max_depth': 8, 'model__criterion': 'gini', 'model__class_weight': None}"
